City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,2.31,64,100,16.36,TF,1691013849
1,blackmans bay,-43.0167,147.3167,10.07,73,100,4.09,AU,1691013849
2,leduc,53.2668,-113.552,25.09,56,57,4.11,CA,1691013850
3,georgetown,5.4112,100.3354,26.96,89,20,0.0,MY,1691013675
4,bethel,41.3712,-73.414,26.46,47,0,2.06,US,1691013850
5,tiksi,71.6872,128.8694,5.25,96,100,4.62,RU,1691013851
6,west island,-12.1568,96.8225,23.99,78,40,8.23,CC,1691013790
7,adamstown,-25.066,-130.1015,21.11,68,92,8.18,PN,1691013852
8,papao,-17.75,-149.55,27.82,68,11,5.29,PF,1691013852
9,arys,42.4252,68.795,27.01,18,0,3.79,KZ,1691013853
10,anadyr,64.75,177.4833,13.28,82,75,7.0,RU,1691013625
11,katsuura,35.1333,140.3,27.37,83,0,5.4,JP,1691013722
12,saipan,15.1355,145.701,29.25,100,99,0.89,MP,1691013638
13,aras-asan,8.8908,126.3033,25.43,89,97,3.22,PH,1691013855
14,kapa'a,22.0752,-159.319,31.18,73,20,7.72,US,1691013855
15,mount pearl,47.5166,-52.7813,18.86,83,100,1.79,CA,1691013856
16,lucea,18.451,-78.1736,27.92,76,83,3.84,JM,1691013856
17,stanley,54.868,-1.6985,13.17,93,75,4.63,GB,1691013857
18,longyearbyen,78.2186,15.6401,11.91,71,75,4.12,SJ,1691013857
19,kodiak,57.79,-152.4072,14.73,82,0,4.63,US,1691013858
20,giovinazzo,41.1864,16.6674,28.41,49,0,1.54,IT,1691013858
21,nemuro,43.3236,145.575,18.79,89,43,6.77,JP,1691013627
22,ushuaia,-54.8,-68.3,-0.19,100,75,8.23,AR,1691013599
23,edinburgh of the seven seas,-37.0676,-12.3116,12.35,70,96,11.4,SH,1691013859
24,avarua,-21.2078,-159.775,24.03,83,100,5.14,CK,1691013860
25,grytviken,-54.2811,-36.5092,-0.12,98,100,3.7,GS,1691013860
26,chulakkurgan,43.765,69.1814,24.86,26,0,1.99,KZ,1691013861
27,trinity beach,-16.7888,145.6968,20.56,94,75,5.66,AU,1691013861
28,wakkanai,45.4094,141.6739,23.94,93,100,4.02,JP,1691013630
29,olonkinbyen,70.9221,-8.7187,6.11,88,50,2.33,SJ,1691013862
30,whitehorse,60.7161,-135.0538,21.43,46,20,2.57,CA,1691013574
31,ancud,-41.8697,-73.8203,6.0,66,26,3.3,CL,1691013863
32,invercargill,-46.4,168.35,8.34,97,100,1.34,NZ,1691013636
33,mount gambier,-37.8333,140.7667,10.69,63,38,5.8,AU,1691013674
34,puerto natales,-51.7236,-72.4875,3.61,87,100,8.15,CL,1691013864
35,sao vicente,-23.9631,-46.3919,30.1,77,0,1.67,BR,1691013865
36,utrik,11.2278,169.8474,28.18,78,18,5.28,MH,1691013865
37,nakamura,32.9833,132.9333,25.87,92,58,1.64,JP,1691013630
38,carnarvon,-24.8667,113.6333,15.93,74,17,6.75,AU,1691013866
39,kalmunai,7.4167,81.8167,25.98,72,6,2.14,LK,1691013866
40,victoria point,-27.5833,153.3,16.81,91,47,0.89,AU,1691013867
41,waitangi,-43.9535,-176.5597,7.12,88,73,4.47,NZ,1691013867
42,afaahiti,-17.75,-149.2833,26.93,70,18,4.85,PF,1691013868
43,la'ie,21.6477,-157.9253,31.98,75,43,8.51,US,1691013868
44,bilibino,68.0546,166.4372,13.6,63,100,1.43,RU,1691013869
45,kiruna,67.8557,20.2251,15.51,94,75,4.63,SE,1691013869
46,nouadhibou,20.931,-17.0347,21.99,83,0,2.57,MR,1691013770
47,broken hill,-31.95,141.4333,10.97,49,37,4.93,AU,1691013831
48,pran buri,12.3847,99.9098,27.29,78,100,5.44,TH,1691013638
49,havre,49.5833,0.3333,16.87,88,100,13.38,FR,1691013871
50,tura,25.5198,90.2201,23.97,95,100,2.52,IN,1691013872
51,iqaluit,63.7506,-68.5145,5.38,75,90,1.77,CA,1691013609
52,bichura,50.5881,107.6022,16.59,99,100,1.05,RU,1691013872
53,udachny,66.4167,112.4,11.36,87,96,6.73,RU,1691013872
54,turbiv,49.3479,28.7212,15.19,92,10,2.34,UA,1691013873
55,albany,42.6001,-73.9662,25.32,53,64,1.46,US,1691013873
56,hawaiian paradise park,19.5933,-154.9731,28.35,72,20,6.17,US,1691013874
57,vorkuta,67.5,64.0,17.43,81,4,3.81,RU,1691013874
58,laminusa,5.5549,120.9136,28.46,77,92,4.67,PH,1691013874
59,haiku-pauwela,20.9219,-156.3051,29.01,60,40,10.29,US,1691013875
60,bredasdorp,-34.5322,20.0403,9.46,71,2,1.84,ZA,1691013875
61,cobram,-35.9167,145.65,6.56,91,6,3.37,AU,1691013875
62,okha,53.5739,142.9478,12.58,89,98,5.89,RU,1691013876
63,bikenibeu village,1.3673,173.1241,29.98,70,40,2.57,KI,1691013876
64,hermanus,-34.4187,19.2345,10.45,58,11,3.56,ZA,1691013876
65,mthatha,-31.5889,28.7844,9.45,49,0,1.98,ZA,1691013877
66,severo-yeniseyskiy,60.3725,93.0408,12.27,73,95,1.32,RU,1691013877
67,port mathurin,-19.6833,63.4167,23.32,74,1,6.67,MU,1691013877
68,ocean shores,46.9737,-124.1563,26.32,68,0,7.2,US,1691013878
69,wailua homesteads,22.0669,-159.378,30.44,73,20,7.72,US,1691013878
70,tucumcari,35.1717,-103.725,37.75,19,0,7.72,US,1691013879
71,egilsstadir,65.2653,-14.3948,8.11,91,97,2.94,IS,1691013879
72,shingu,33.7333,135.9833,26.79,83,21,0.73,JP,1691013626
73,norilsk,69.3535,88.2027,11.35,45,10,1.37,RU,1691013880
74,gadzhiyevo,69.2551,33.3362,16.96,72,38,2.82,RU,1691013880
75,port elizabeth,-33.918,25.5701,14.43,54,0,3.05,ZA,1691013881
76,plesetsk,62.708,40.2916,18.59,69,98,1.55,RU,1691013882
77,castillos,-34.1667,-53.8333,16.09,93,23,6.48,UY,1691013882
78,al 'amarah,31.8406,47.1396,39.08,10,0,7.37,IQ,1691013882
79,ilhabela,-23.7781,-45.3581,19.61,86,1,2.87,BR,1691013883
80,ribeira grande,38.5167,-28.7,24.32,85,99,2.24,PT,1691013883
81,seguela,7.9611,-6.6731,22.49,92,100,2.0,CI,1691013884
82,jamestown,42.097,-79.2353,25.01,53,0,3.09,US,1691013884
83,carbonear,47.7332,-53.2148,19.58,89,100,4.49,CA,1691013885
84,tucurui,-3.7661,-49.6725,28.48,44,41,1.54,BR,1691013885
85,dhemaji,27.4833,94.5833,25.7,98,100,1.93,IN,1691013885
86,ramnagar,29.4,79.1167,25.34,72,72,1.87,IN,1691013886
87,kismayo,-0.3582,42.5454,24.1,84,100,7.53,SO,1691013886
88,kourou,5.1552,-52.6478,28.03,88,32,3.69,GF,1691013887
89,vyyezdnoye,55.3815,43.7864,17.79,94,100,1.15,RU,1691013887
90,yellowknife,62.456,-114.3525,19.96,49,40,3.21,CA,1691013849
91,bluefields,12.0137,-83.7635,26.17,92,100,4.46,NI,1691013888
92,hammerfest,70.6634,23.6821,21.25,64,40,5.66,NO,1691013888
93,wintzenheim,48.0727,7.2907,20.73,52,0,7.2,FR,1691013889
94,punta arenas,-53.15,-70.9167,2.8,92,92,9.03,CL,1691013889
95,sopron,47.685,16.5905,22.07,75,26,4.23,HU,1691013890
96,atafu village,-8.5421,-172.5159,28.36,73,89,6.02,TK,1691013890
97,marovoay,-16.1,46.6333,21.89,61,68,1.5,MG,1691013891
98,banjarmasin,-3.3244,114.591,22.08,95,4,0.88,ID,1691013630
99,upington,-28.4478,21.2561,12.67,38,0,6.01,ZA,1691013891
100,villa union,23.2,-106.2333,33.34,70,75,3.6,MX,1691013892
101,badger,64.8,-147.5333,25.07,44,75,3.6,US,1691013892
102,mansa,29.9833,75.3833,30.75,61,19,2.31,IN,1691013893
103,taoudenni,22.6783,-3.9836,41.73,6,34,2.77,ML,1691013893
104,isafjordur,66.0755,-23.124,10.42,77,92,0.98,IS,1691013894
105,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,100,3.0,RU,1691013894
106,lethem,3.3803,-59.7968,27.82,76,53,1.68,GY,1691013895
107,ust-nera,64.5667,143.2,15.85,49,35,1.82,RU,1691013895
108,sao joao da barra,-21.6403,-41.0511,21.05,74,0,4.54,BR,1691013896
109,kiunga,-6.1219,141.2906,22.35,96,100,1.56,PG,1691013896
110,tazovsky,67.4667,78.7,10.23,64,7,4.79,RU,1691013897
111,kodinsk,58.6881,99.1844,13.93,77,78,1.74,RU,1691013897
112,zalingei,12.9096,23.4741,23.24,76,99,2.4,SD,1691013897
113,la serena,-29.9078,-71.2542,15.73,82,75,4.12,CL,1691013898
114,lucapa,-8.4192,20.7447,21.38,30,8,1.28,AO,1691013898
115,camocim,-2.9022,-40.8411,26.2,79,37,6.94,BR,1691013899
116,rmi capitol,7.0893,171.3805,29.97,74,40,1.54,MH,1691013899
117,usta muhammad,28.1794,68.0445,34.32,52,0,4.52,PK,1691013900
118,holualoa,19.6228,-155.9522,26.91,78,75,6.17,US,1691013900
119,preobrazheniye,42.9019,133.9064,22.06,97,100,2.12,RU,1691013901
120,papatowai,-46.5619,169.4708,7.07,91,100,4.34,NZ,1691013902
121,igarka,67.4667,86.5833,15.69,62,13,4.39,RU,1691013903
122,mopti,14.6667,-4.0,32.71,48,87,4.05,ML,1691013903
123,tumayr,25.7039,45.868,34.05,11,4,2.99,SA,1691013903
124,mirny,62.5353,113.9611,16.44,54,69,1.34,RU,1691013904
125,ola,59.5833,151.2833,15.79,64,98,4.21,RU,1691013904
126,constitucion,-35.3333,-72.4167,12.83,66,13,3.3,CL,1691013905
127,key west,24.5557,-81.7826,35.0,61,20,3.6,US,1691013905
128,durban,-29.8579,31.0292,15.64,79,4,5.91,ZA,1691013660
129,opole lubelskie,51.1478,21.969,19.78,71,87,4.1,PL,1691013906
130,ostseebad binz,54.3999,13.6105,16.64,92,100,8.39,DE,1691013906
131,beaconsfield,45.4334,-73.8659,24.37,56,80,2.19,CA,1691013906
132,ilulissat,69.2167,-51.1,8.01,81,75,1.54,GL,1691013907
133,bani mazar,28.5036,30.8004,29.79,38,0,7.7,EG,1691013907
134,peniche,39.3558,-9.3811,20.16,87,60,7.4,PT,1691013908
135,codrington,-38.2667,141.9667,10.9,64,42,8.04,AU,1691013908
136,pangoa,-12.1167,-73.0,26.94,55,3,1.1,PE,1691013909
137,leh,34.1667,77.5833,17.15,58,51,2.26,IN,1691013909
138,abu dhabi,24.4667,54.3667,34.97,65,9,5.19,AE,1691013763
139,puerto ayora,-0.7393,-90.3518,27.98,87,29,2.68,EC,1691013910
140,klaeng,12.7797,101.6483,28.86,89,100,3.67,TH,1691013843
141,maple ridge,49.2194,-122.6019,29.16,42,88,3.58,CA,1691013911
142,kapuskasing,49.4169,-82.4331,20.77,88,86,0.73,CA,1691013911
143,bamboo flat,11.7,92.7167,28.05,83,40,5.14,IN,1691013912
144,simanggang,1.2472,111.4528,22.74,99,100,1.36,MY,1691013913
145,belmonte,-15.8631,-38.8828,21.38,78,5,2.76,BR,1691013914
146,porto novo,6.4965,2.6036,23.83,87,73,3.49,BJ,1691013914
147,qianzhou,28.3167,109.7167,23.48,96,100,0.19,CN,1691013915
148,sattahip,12.6664,100.9007,28.88,83,20,3.09,TH,1691013915
149,namsos,64.4662,11.4957,13.95,94,100,0.0,NO,1691013916
150,arraial do cabo,-22.9661,-42.0278,21.15,78,4,8.87,BR,1691013916
151,hermoso campo,-27.6082,-61.3444,31.73,40,0,3.94,AR,1691013916
152,qamdo,31.1667,97.2333,7.33,87,100,1.11,CN,1691013917
153,lamu,-2.2717,40.902,25.12,85,93,6.41,KE,1691013917
154,tolanaro,-25.0319,46.9987,18.42,81,98,3.91,MG,1691013918
155,santa terezinha,-29.9002,-50.0904,18.51,82,0,3.05,BR,1691013919
156,luderitz,-26.6481,15.1594,18.16,34,0,2.46,NA,1691013919
157,baruun-urt,46.6806,113.2792,18.25,79,0,4.47,MN,1691013919
158,gisborne,-38.6533,178.0042,8.14,65,31,9.87,NZ,1691013648
159,bel ombre,-4.6167,55.4167,24.92,85,43,6.59,SC,1691013921
160,punta del este,-34.9667,-54.95,16.06,90,75,7.6,UY,1691013921
161,san antonio de pale,-1.4014,5.6325,22.15,78,58,3.83,GQ,1691013921
162,ataq,14.5377,46.8319,24.92,57,85,6.96,YE,1691013922
163,sturgis,41.7992,-85.4192,27.14,57,40,1.54,US,1691013922
164,protaras,35.0125,34.0583,26.66,85,0,1.34,CY,1691013923
165,khandyga,62.6667,135.6,12.55,80,97,0.83,RU,1691013923
166,darnah,32.767,22.6367,26.45,70,0,1.42,LY,1691013924
167,gaalkacyo,6.7697,47.4308,26.51,55,100,9.82,SO,1691013924
168,victorica,-36.2151,-65.4359,13.81,25,81,6.28,AR,1691013925
169,tahe,52.3333,124.7333,14.14,60,82,0.79,CN,1691013925
170,urcos,-13.6861,-71.6228,16.94,57,91,3.91,PE,1691013926
171,thompson,55.7435,-97.8558,22.62,55,81,1.61,CA,1691013926
172,lebu,-37.6167,-73.65,9.9,77,52,9.9,CL,1691013927
173,pascagoula,30.3658,-88.5561,36.4,62,95,4.25,US,1691013927
174,bridgewater,44.3835,-64.5155,23.95,44,3,0.89,CA,1691013928
175,cuatro cienegas de carranza,26.9833,-102.0833,36.37,20,0,6.98,MX,1691013928
176,lubango,-14.9172,13.4925,14.74,34,11,1.28,AO,1691013929
177,carutapera,-1.195,-46.02,25.47,83,7,3.87,BR,1691013929
178,tralee,52.2704,-9.7026,14.4,92,100,6.94,IE,1691013929
179,rio grande,-32.035,-52.0986,23.06,87,1,3.89,BR,1691013930
180,petatlan,17.5167,-101.2667,32.89,66,100,2.31,MX,1691013930
181,villa regina,-39.1,-67.0667,12.21,20,52,4.66,AR,1691013930
182,gambiran satu,-8.3939,114.1464,20.82,97,22,0.49,ID,1691013931
183,semirara,12.0697,121.3986,27.9,81,100,9.73,PH,1691013932
184,bubaque,11.2833,-15.8333,27.23,79,100,4.27,GW,1691013932
185,olyokminsk,60.3736,120.4264,15.66,55,3,0.3,RU,1691013932
186,shengli,37.4564,118.4856,27.61,81,33,3.32,CN,1691013933
187,inirida,3.8653,-67.9239,26.08,91,47,0.61,CO,1691013933
188,nova sintra,14.8667,-24.7167,23.22,82,8,3.85,CV,1691013934
189,mount isa,-20.7333,139.5,11.87,82,15,1.54,AU,1691013749
190,rong'an,26.1247,119.1214,25.39,94,86,1.75,CN,1691013935
191,road town,18.4167,-64.6167,30.02,74,40,3.6,VG,1691013935
192,hamilton,39.1834,-84.5333,30.43,53,100,0.89,US,1691013735
193,sangin,32.0728,64.8359,31.01,14,0,4.46,AF,1691013936
194,talnakh,69.4865,88.3972,11.23,42,11,1.47,RU,1691013937
195,minas de marcona,-15.2119,-75.1103,15.8,67,9,4.17,PE,1691013937
196,keflavik,64.0049,-22.5624,11.24,82,20,7.72,IS,1691013937
197,hongqiao,26.7684,112.1081,24.72,91,18,0.86,CN,1691013938
198,northam,51.0333,-4.2167,17.59,94,91,8.56,GB,1691013938
199,ixtapa,20.7,-105.2,33.46,70,100,3.6,MX,1691013938
200,benguela,-12.5763,13.4055,20.43,88,43,2.33,AO,1691013939
201,turpan,42.9333,89.1667,34.55,18,0,2.13,CN,1691013939
202,waddan,29.1614,16.139,30.05,41,0,6.33,LY,1691013940
203,san fernando del valle de catamarca,-28.4696,-65.7852,25.88,35,0,2.08,AR,1691013940
204,college,64.8569,-147.8028,25.11,45,40,3.6,US,1691013940
205,cabo san lucas,22.8909,-109.9124,34.61,58,0,6.69,MX,1691013941
206,rouissat,31.9243,5.3502,36.02,16,0,5.01,DZ,1691013941
207,bni bouayach,35.1022,-3.841,28.89,40,0,2.17,MA,1691013942
208,landshut,48.5333,12.15,20.37,90,95,1.79,DE,1691013812
209,qaqortoq,60.7167,-46.0333,6.41,87,75,4.28,GL,1691013942
210,afif,23.9065,42.9172,30.16,12,1,9.35,SA,1691013943
211,la ronge,55.1001,-105.2842,23.53,42,63,3.84,CA,1691013944
212,san luis de la loma,17.2706,-100.8939,29.72,73,99,2.72,MX,1691013944
213,dongtai,32.8523,120.3095,25.29,96,17,2.47,CN,1691013944
214,katsuren-haebaru,26.3369,127.8719,26.01,90,100,13.69,JP,1691013696
215,el calafate,-50.3408,-72.2768,2.07,77,22,7.57,AR,1691013945
216,weno,7.4515,151.8468,28.73,72,40,1.92,FM,1691013946
217,tegueste,28.5167,-16.3167,21.66,89,40,8.49,ES,1691013946
218,quincy-voisins,48.9011,2.8756,18.44,75,100,10.17,FR,1691013947
219,lospalos,-8.5186,127.0025,21.55,86,47,2.5,TL,1691013947
220,chela,34.069,104.4619,13.64,95,9,0.91,CN,1691013948
221,lihue,21.9789,-159.3672,30.77,66,20,7.72,US,1691013948
222,vuktyl,63.8567,57.3094,16.96,71,6,1.5,RU,1691013948
223,tamanrasset,22.785,5.5228,25.95,36,20,4.12,DZ,1691013949
224,tuam,53.5167,-8.85,14.01,91,96,5.82,IE,1691013949
225,muravlenko,63.7898,74.523,18.49,65,7,5.12,RU,1691013950
226,hilo,19.7297,-155.09,28.47,78,20,6.17,US,1691013950
227,yuzhno-kurilsk,44.0306,145.8556,20.28,84,76,3.4,RU,1691013950
228,mili,6.0815,171.735,28.11,75,87,3.32,MH,1691013951
229,margaret river,-33.95,115.0667,8.98,72,95,6.22,AU,1691013951
230,kavaratti,10.5669,72.642,28.34,75,100,7.93,IN,1691013952
231,port douglas,-16.4833,145.4667,21.94,78,58,7.19,AU,1691013952
232,cadale,2.7603,46.3222,24.79,85,75,8.43,SO,1691013953
233,remire-montjoly,4.9167,-52.2667,28.02,83,0,0.0,GF,1691013953
234,valle de la pascua,9.2155,-66.0073,27.8,81,6,1.5,VE,1691013953
235,simpang,-1.2667,104.0833,23.64,98,73,1.81,ID,1691013954
236,dwarka,22.2394,68.9678,27.06,83,100,9.94,IN,1691013955
237,constantia,44.1833,28.65,22.61,75,49,4.79,RO,1691013955
238,enewetak,11.3474,162.3373,28.49,77,42,7.47,MH,1691013956
239,klyuchi,52.2667,79.1667,21.62,51,71,2.57,RU,1691013957
240,san borja,-14.8167,-66.85,28.96,45,1,1.34,BO,1691013957
241,tataouine,32.9297,10.4518,27.13,54,0,3.54,TN,1691013958
242,howick,-29.4779,30.2306,6.41,57,0,2.15,ZA,1691013958
243,kosong,38.3788,128.4676,25.03,78,70,4.39,KR,1691013959
244,san vincenzo,43.0928,10.5408,24.46,93,0,2.37,IT,1691013959
245,poronaysk,49.2167,143.1167,15.42,83,100,1.32,RU,1691013960
246,zhezqazghan,47.7833,67.7667,24.26,37,0,3.8,KZ,1691013960
247,ulladulla,-35.35,150.4667,11.78,73,0,2.97,AU,1691013961
248,nikel,69.4128,30.222,18.1,72,45,2.92,RU,1691013961
249,quelimane,-17.8786,36.8883,18.97,88,75,1.54,MZ,1691013962
250,uturoa,-16.7333,-151.4333,26.1,68,70,6.58,PF,1691013962
251,valley city,46.9233,-98.0032,31.29,58,20,3.09,US,1691013962
252,susuman,62.7833,148.1667,13.5,50,29,5.17,RU,1691013963
253,novyy urgal,51.0736,132.5642,14.72,72,81,2.0,RU,1691013963
254,iskateley,67.6803,53.1512,18.16,69,8,3.78,RU,1691013964
255,kivioli,59.3531,26.9711,16.01,97,100,3.01,EE,1691013964
256,isangel,-19.55,169.2667,23.08,76,100,9.45,VU,1691013964
257,musoma,-1.5,33.8,21.82,69,97,2.16,TZ,1691013965
258,portland,45.5234,-122.6762,33.07,31,0,3.6,US,1691013965
